ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
573712_037,82.0,9,33,53.464,-8,52,39.994,143.4727667,-8.877776111000001,250,224,20.0,470.0,231.94960899999998,28.453614,198713.7292,234.90375699999998,26.749370000000003,202662.4683,232.4,27.09,2018-04-18T13:44:01.341734,234.78250206853542,27.938905448871434
573834_083,29.5,9,32,32.4575,-6,59,23.201,143.1352396,-6.9897780560000005,409,16,402.0,420.0,231.89401,27.839161999999998,200151.6481,234.925027,26.246584999999996,198737.2725,231.3,27.93,2018-04-18T13:45:16.625684,236.86190679579164,28.975931056032646
574216_031,80.0,9,41,27.4633,-5,23,52.525,145.3644304,-5.397923611,446,17,376.0,493.0,235.003544,30.912589,197018.6837,237.71737400000004,29.379542999999998,195263.5896,232.2,27.26,2018-04-18T13:49:28.137517,236.66001055982696,30.50571682079251
574413_083,124.5,9,46,14.5861,-7,53,5.086,146.56077539999998,-7.884746111,124,83,22.0,220.0,233.986306,28.324440000000003,194747.3779,234.562275,26.044798999999998,201709.7815,231.5,27.76,2018-04-18T13:51:46.728779,234.57973902785267,29.441396350032328
574413_083,124.5,9,46,14.5861,-7,53,5.086,146.56077539999998,-7.884746111,124,83,22.0,220.0,233.986306,28.324440000000003,194747.3779,234.562275,26.044798999999998,201709.7815,231.5,27.76,2018-04-18T13:51:46.728779,234.57973902785267,29.441396350032328
574422_084,124.5,9,41,40.952,-8,39,21.092,145.42063330000002,-8.655858889,90,60,22.0,156.0,233.986306,28.324440000000003,194747.3779,234.562275,26.044798999999998,201709.7815,231.3,27.93,2018-04-18T13:51:46.728779,234.77828543859124,27.942259561164402
574431_084,124.5,9,37,7.2386,-9,25,8.418,144.2801608,-9.419005,58,36,13.0,95.0,233.986306,28.324440000000003,194747.3779,234.562275,26.044798999999998,201709.7815,231.5,27.76,2018-04-18T13:51:46.728779,234.9647336539181,26.44401884537633
574511_068,79.0,9,47,50.2422,-9,43,36.373000000000005,146.9593425,-9.726770278,422,261,343.0,488.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,232.95798642007423,28.028599072214593
574511_069,77.5,9,46,29.8085,-9,39,23.52,146.6242021,-9.656533332999999,172,209,34.0,310.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,233.24050746782737,27.811223241030657
574511_070,78.0,9,46,55.5545,-9,40,21.947,146.7314771,-9.672763056,252,221,30.0,460.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,233.15022341922452,27.880890527163917
