Event_Number,utc_mu,azimuth_start_at_kiso,elevation_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,ID_tomoe,az_start_tomoe,el_start_tomoe,az_end_tomoe,el_end_tomoe
1000013,2018-04-18T13:18:28.175,232.654002,27.09488,234.874129,26.222579,571311_057,233.25462258345502,26.9123727494208,233.96845022461497,26.638775136956
1000019,2018-04-18T13:28:23.362,232.72604700000002,28.001289,233.466469,25.561245,572211_063,233.06211252887996,27.4075195208826,233.139658667124,27.1437633500897
1000020,2018-04-18T13:29:45.895,232.18951600000003,27.371878999999996,234.81784100000002,26.321669,572311_102,233.00061586637798,27.1297902226156,233.43661619998198,26.9725311757729
1000027,2018-04-18T13:33:10.308,233.419423,28.330595000000002,234.34486800000002,25.890725,572622_107,233.73125781382998,27.6367188801052,233.81272468874198,27.438677189540897
1000035,2018-04-18T13:44:19.598,231.94960899999998,28.453614,234.90375699999998,26.749370000000003,573712_037,233.847682270424,27.4465494643169,234.40964067156602,27.1133910614115
1000040,2018-04-18T13:49:43.170,235.003544,30.912589,237.71737400000004,29.379542999999998,574216_031,236.285868775461,30.247321814115,236.43868499882598,30.1624664537353
1000044,2018-04-18T13:52:28.312,233.986306,28.324440000000003,234.562275,26.044798999999998,574422_084,234.25807903868198,27.554732161806697,234.315218318478,27.346003957778102
1000045,2018-04-18T13:53:24.154,231.908296,27.640798999999998,234.89222999999998,26.114534,574511_068,232.33667588253996,27.5202791339922,232.528216611003,27.424043719288303
1000045,2018-04-18T13:53:24.154,231.908296,27.640798999999998,234.89222999999998,26.114534,574511_069,232.57168131976601,27.401861902538702,232.942524102352,27.2254076415833
1000045,2018-04-18T13:53:24.154,231.908296,27.640798999999998,234.89222999999998,26.114534,574511_070,232.37721405562198,27.505114884112395,232.951333148763,27.226641183568695
1000045,2018-04-18T13:53:24.154,231.908296,27.640798999999998,234.89222999999998,26.114534,574521_069,233.444851088927,26.973758776062798,233.8537152877,26.767909101446598
1000045,2018-04-18T13:53:24.154,231.908296,27.640798999999998,234.89222999999998,26.114534,574521_070,233.900203076384,26.7447527683712,234.04255613570302,26.6727579874605
1000069,2018-04-18T14:24:31.993,231.468125,30.150716999999997,235.29016099999998,29.012353000000004,577414_032,234.109651555239,29.409682707219897,234.514570659229,29.283959342062502
1000081,2018-04-18T14:32:07.881,233.839094,29.970435,235.509698,27.886321000000002,578114_038,234.479135308332,29.3817566800628,234.716326230901,29.093780688610803
1000140,2018-04-18T15:22:26.422,232.516817,27.429261,234.259779,26.230351000000002,580521_059,233.509051413339,26.900389504401698,233.942777087863,26.6195650340314
1000157,2018-04-18T15:40:49.767,231.955558,27.882518,233.99060699999998,27.024865999999996,582211_049,232.33862042703203,27.835863278443398,232.75991682057202,27.6695195738868
1000160,2018-04-18T15:42:15.595,232.546023,28.713125,235.05665299999998,28.866878000000003,582313_095,233.68360533986697,28.8437778449782,233.94121335148103,28.8607599942644
1000159,2018-04-18T15:41:42.869,231.37097999999997,27.311044,233.78564500000002,26.965815000000003,582321_030,233.492884175177,27.028659786914503,233.612065975368,27.0093316967632
1000161,2018-04-18T15:43:17.024,232.394996,28.975602000000002,235.042233,26.202077,582412_092,233.406251106839,28.090718698747803,233.74144834933202,27.7470355256622
1000161,2018-04-18T15:43:17.024,232.394996,28.975602000000002,235.042233,26.202077,582422_091,234.21541037582801,27.2538001717782,234.515150751606,26.936988678267102
1000163,2018-04-18T15:44:33.249,232.966969,26.327601,234.754331,25.867298,582521_118,234.11414938894902,26.158401345115,234.27179128151298,26.118724129999105
1000199,2018-04-18T16:12:21.994,232.358754,29.967166,235.399736,28.945346999999998,584014_111,234.161394632703,29.465226404882003,234.45362619062598,29.3622923534806
1000207,2018-04-18T16:15:30.492,231.506375,30.680096000000002,235.78533,29.208655,584315_111,235.58004234267798,29.4287762796143,235.66374885581,29.3990014743362
1000208,2018-04-18T16:15:43.649,232.240431,28.600098,233.943727,25.589691000000002,584411_011,233.29629980346698,27.167447239481803,233.493581368774,26.813839784747
1000517,2018-04-18T18:12:36.688,233.51915,30.51261,233.91303900000003,28.114521000000003,586013_041,233.998464366279,28.7565776865208,234.053529469159,28.3727746102421
1000517,2018-04-18T18:12:36.688,233.51915,30.51261,233.91303900000003,28.114521000000003,586013_042,233.99715899318298,28.7532359151685,234.042780375569,28.413720123228998
1000535,2018-04-18T18:17:08.836,231.86980899999998,30.48323,234.866119,27.454121,586413_057,233.600039052373,28.948484247344798,233.87336132168,28.661900499847196
1000534,2018-04-18T18:17:03.310,233.639425,29.43385,235.44112400000003,28.35708,586424_046,234.983646059255,28.7644262863517,235.435359514493,28.513545008033
1000565,2018-04-18T18:22:53.708,231.779064,29.879068,234.77489,26.816816999999997,586912_119,234.123116245067,27.6547868384593,234.50330958683602,27.264409386300997
1000579,2018-04-18T18:25:48.073,232.05084100000002,29.148132,234.76114700000002,26.081576000000002,587212_063,233.242490451778,27.9879331358961,233.518301801408,27.6819110414994
1000575,2018-04-18T18:25:28.326,231.347413,29.221512,234.17172799999997,26.2205,587221_025,233.79311972406003,26.846809525780696,233.970662955267,26.651013128397604
1000601,2018-04-18T18:30:21.581,231.67010499999998,30.839208000000003,234.768321,28.658113,587614_081,234.265548641553,29.2293971414212,234.455476180549,29.099641491341895
1000607,2018-04-18T18:32:03.590,232.18577599999998,30.993352,235.558294,28.205801,587814_034,234.554965071492,29.1910192437721,234.93219290185797,28.8695949330929
